epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.381,1.89784,7.91846,1.74821,0.00222,0.54545,0.00602,0.00155,1.92566,6.82001,1.82916,8e-05,8e-05,8e-05
2,30.3191,1.95085,7.8215,1.73823,0.6794,0.18182,0.27747,0.1266,1.84042,7.23881,1.84853,0.00017703,0.00017703,0.00017703
3,32.4259,1.56754,4.40633,1.50486,0.78863,0.72727,0.79016,0.34481,1.54181,4.67544,1.59225,0.00027076,0.00027076,0.00027076
4,34.4878,1.6015,2.71435,1.31331,0.45615,0.76367,0.64181,0.36767,1.23381,3.91634,1.3224,0.00036119,0.00036119,0.00036119
5,36.629,1.36516,1.94726,1.19783,0.06741,0.45455,0.09216,0.06602,1.348,7.99408,1.40514,0.00044832,0.00044832,0.00044832
6,38.8479,1.36119,1.56935,1.23514,0.07618,0.90909,0.07726,0.04427,1.31192,11.7332,1.41439,0.00053215,0.00053215,0.00053215
7,41.6415,1.40862,1.46843,1.25247,0.07414,0.72727,0.06927,0.03913,1.31746,6.39878,1.37562,0.00061268,0.00061268,0.00061268
8,43.5405,1.35958,1.2661,1.20515,0.1058,0.54545,0.09686,0.05452,1.24035,5.5787,1.19654,0.00068991,0.00068991,0.00068991
9,45.5099,1.30339,1.08538,1.15273,0.42107,0.72732,0.47935,0.31388,1.28886,3.34354,1.31478,0.00076384,0.00076384,0.00076384
10,47.5042,1.40096,1.10773,1.2074,0.31206,0.54545,0.27862,0.16495,1.71696,3.41271,1.69117,0.00083447,0.00083447,0.00083447
11,49.4242,1.43934,1.10707,1.20336,0.64193,0.36364,0.43471,0.2048,1.8597,3.02813,1.95925,0.0009018,0.0009018,0.0009018
12,51.5285,1.24459,1.00118,1.14038,0.33126,0.72727,0.40815,0.21195,1.74425,3.97606,1.82525,0.00096583,0.00096583,0.00096583
